,Σώμα_A,Σώμα_B,Σώμα_C,STATE
t,y,y,y,
"17,8","-262,42","-160,88","-67,25",
18,"-262,42","-166,15","-71,21",
"18,2","-262,42","-167,47","-73,85",
"18,4","-262,42","-168,79","-75,16",
"18,6","-262,42","-168,79","-75,16",
"18,8","-262,42","-168,79","-75,16",
19,"-278,24","-174,07","-80,44",
"19,2","-266,37","-174,07","-80,44",
"19,4","-266,37","-174,07","-81,76",
"19,6","-266,37","-174,07","-83,08",
"19,8","-271,65","-178,02","-83,08",
20,"-275,60","-178,02","-87,03",
"20,2","-275,60","-178,02","-87,03",
"20,4","-276,92","-179,34","-87,03",
"20,6","-276,92","-180,66","-89,67",
"20,8","-276,92","-180,66","-94,95",
21,"-276,92","-180,66","-89,67",
"21,2","-275,60","-178,02","-90,99",
"21,4","-275,60","-179,34","-90,99",
"21,6","-275,60","-179,34","-90,99",
"21,8","-276,92","-179,34","-90,99",
22,"-276,92","-179,34","-90,99",
"22,2","-276,92","-174,07","-98,90",
"22,4","-276,92","-181,98","-98,90",
"22,6","-276,92","-181,98","-101,54",
"22,8","-276,92","-181,98","-97,58",
23,"-276,92","-181,98","-97,58",
"23,2","-276,92","-181,98","-100,22",
"23,4","-276,92","-181,98","-108,13",
"23,6","-276,92","-181,98","-108,13",
"23,8","-276,92","-181,98","-108,13",
24,"-276,92","-181,98","-108,13",
"24,2","-276,92","-181,98","-108,13",
"24,4","-276,92","-181,98","-113,41",
"24,6","-276,92","-181,98","-114,73",
"24,8","-276,92","-181,98","-117,36",
25,"-275,60","-181,98","-116,04",
"25,2","-275,60","-181,98","-113,41",
"25,4","-275,60","-181,98","-113,41",
"25,6","-275,60","-181,98","-116,04",
"25,8","-275,60","-181,98","-117,36",
26,"-275,60","-181,98","-117,36",
"26,2","-275,60","-181,98","-117,36",
"26,4","-275,60","-181,98","-117,36",
"26,6","-275,60","-181,98","-112,09",
"26,8","-275,60","-181,98","-113,41",
27,"-275,60","-181,98","-113,41",
"27,2","-270,33","-179,34","-113,41",
"27,4","-270,33","-179,34","-113,41",
"27,6","-270,33","-179,34","-113,41",
"27,8","-270,33","-178,02","-113,41",
28,"-270,33","-178,02","-113,41",
"28,2","-263,74","-176,70","-114,73",
"28,4","-263,74","-176,70","-113,41",
