,Σώμα_B,Σώμα_C,Σώμα_D,,,,,,,,,,,,,Υ-axis
t,y,y,y,,,,,,,,,,,,,
44,"-428,77","-387,06","-174,07",,,,,,,,,,,,,
"44,2","-432,87","-390,46","-179,34",,,,,,,,,,,,,
"44,4","-436,97","-393,86","-179,34",,,,,,,,,,,,,
"44,6","-441,07","-397,26","-187,25",,,,,,,,,,,,,
"44,8","-445,17","-400,66","-193,85",,,,,,,,,,,,,
45,"-449,27","-404,06","-200,44",,,,,,,,,,,,,
"45,2","-453,37","-407,46","-205,71",,,,,,,,,,,,,
"45,4","-457,47","-410,86","-207,03",,,,,,,,,,,,,
"45,6","-461,57","-414,26","-218,90",,,,,,,,,,,,,
"45,8","-465,67","-417,66","-247,91",,,,,,,,,,,,,
46,"-469,77","-421,06","-249,23",,,,,,,,,,,,,
"46,2","-473,87","-424,46","-250,55",,,,,,,,,,,,,
"46,4","-477,97","-427,86","-250,55",,,,,,,,,,,,,
"46,6","-482,07","-431,26","-251,87",,,,,,,,,,,,,
"46,8","-486,17","-434,66","-258,46",,,,,,,,,,,,,
47,"-490,27","-438,06","-267,69",,,,,,,,,,,,,
"47,2","-494,37","-441,46","-272,97",,,,,,,,,,,,,
"47,4","-498,47","-444,86","-275,60",,,,,,,,,,,,,
"47,6","-502,57","-448,26","-279,56",,,,,,,,,,,,,
"47,8","-506,67","-451,66","-301,98",,,,,,,,,,,,,
48,"-510,77","-455,06","-301,98",,,,,,,,,,,,,
"48,2","-514,87","-458,46","-301,98",,,,,,,,,,,,,
"48,4","-518,97","-461,86","-300,66",,,,,,,,,,,,,
"48,6","-523,07","-465,26","-312,53",,,,,,,,,,,,,
"48,8","-527,17","-468,66","-311,21",,,,,,,,,,,,,
49,"-531,27","-472,06","-325,71",,,,,,,,,,,,,
"49,2","-535,37","-475,46","-333,63",,,,,,,,,,,,,
